,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
698,Japan,2017,SQL Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22
699,UK,2021,DDoS,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26
700,Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40
701,Australia,2018,DDoS,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55
702,USA,2017,Phishing,Government,55.34,785099,Insider,Social Engineering,Encryption,29
703,France,2019,DDoS,Healthcare,27.89,460544,Unknown,Weak Passwords,Firewall,29
704,France,2020,Ransomware,Education,66.04,881755,Unknown,Zero-day,Firewall,10
705,India,2024,SQL Injection,Telecommunications,10.24,213393,Unknown,Social Engineering,Encryption,49
706,UK,2017,Man-in-the-Middle,Telecommunications,43.82,213979,Hacker Group,Unpatched Software,Firewall,10
707,UK,2021,Malware,Telecommunications,3.17,570243,Insider,Unpatched Software,Antivirus,51
708,Brazil,2016,Malware,Government,72.73,47624,Nation-state,Weak Passwords,Firewall,70
709,China,2024,Man-in-the-Middle,Banking,16.09,72940,Nation-state,Zero-day,VPN,26
710,Japan,2020,Malware,Telecommunications,98.14,710142,Insider,Zero-day,AI-based Detection,56
711,Japan,2023,Malware,Retail,51.91,360524,Hacker Group,Unpatched Software,Firewall,47
712,France,2017,Phishing,IT,55.9,309259,Insider,Zero-day,AI-based Detection,3
713,UK,2024,Phishing,Government,30.68,393201,Nation-state,Social Engineering,Firewall,3
714,Germany,2020,Ransomware,IT,65.2,306799,Unknown,Zero-day,Encryption,61
715,Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53
716,India,2017,Phishing,Retail,97.87,113745,Unknown,Unpatched Software,Encryption,2
717,Japan,2024,Ransomware,Banking,24.22,584428,Nation-state,Weak Passwords,Firewall,34
718,France,2020,Ransomware,Healthcare,3.27,178268,Nation-state,Unpatched Software,Antivirus,2
719,China,2022,Phishing,Retail,33.69,338578,Unknown,Social Engineering,AI-based Detection,38
720,China,2024,DDoS,Healthcare,7.31,972407,Hacker Group,Zero-day,Encryption,51
721,Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54
722,Australia,2015,Malware,Healthcare,62.34,796100,Hacker Group,Social Engineering,AI-based Detection,20
723,UK,2016,Man-in-the-Middle,Banking,76.06,530253,Unknown,Weak Passwords,Encryption,28
724,Australia,2024,Man-in-the-Middle,Government,50.36,165496,Nation-state,Weak Passwords,Encryption,72
725,Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44
726,India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72
727,China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31
728,Japan,2022,Man-in-the-Middle,Retail,44.34,516125,Unknown,Zero-day,Firewall,67
729,Australia,2021,Man-in-the-Middle,Telecommunications,67.72,393335,Hacker Group,Social Engineering,Antivirus,31
730,UK,2018,SQL Injection,Government,34.09,197436,Unknown,Zero-day,Antivirus,10
731,France,2022,DDoS,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65
732,Australia,2018,DDoS,Healthcare,20.39,913090,Unknown,Zero-day,VPN,2
733,Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56
734,India,2022,SQL Injection,Healthcare,77.3,826937,Unknown,Zero-day,AI-based Detection,64
735,Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39
736,UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45
737,UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4
738,Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66
739,Brazil,2023,Phishing,Government,72.57,720220,Unknown,Weak Passwords,Firewall,71
740,Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57
741,Germany,2022,SQL Injection,IT,68.63,294981,Unknown,Zero-day,AI-based Detection,3
742,USA,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27
743,Australia,2017,Ransomware,Education,66.56,95750,Nation-state,Zero-day,Antivirus,44
744,Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16
745,Russia,2017,Man-in-the-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29
746,Brazil,2016,SQL Injection,Retail,40.29,206598,Unknown,Zero-day,Encryption,45
747,Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54
748,Russia,2024,SQL Injection,Government,63.45,492909,Unknown,Zero-day,AI-based Detection,42
749,UK,2021,Man-in-the-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16
750,Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67
751,Australia,2016,Malware,Healthcare,80.22,124155,Nation-state,Weak Passwords,Encryption,40
752,China,2024,Malware,Retail,34.49,897277,Unknown,Zero-day,VPN,55
753,USA,2017,SQL Injection,Healthcare,51.26,28682,Hacker Group,Zero-day,VPN,44
754,Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44
755,Australia,2018,SQL Injection,IT,19.14,171977,Unknown,Zero-day,Antivirus,44
756,UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36
757,Japan,2021,DDoS,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7
758,USA,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2
759,USA,2021,Man-in-the-Middle,Telecommunications,42.29,817386,Nation-state,Zero-day,Firewall,8
760,India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13
761,Brazil,2020,Man-in-the-Middle,Education,71.35,154966,Hacker Group,Zero-day,Antivirus,19
762,France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34
763,Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37
764,UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36
765,UK,2022,Phishing,Education,36.15,375734,Nation-state,Weak Passwords,AI-based Detection,31
766,Brazil,2023,Malware,Government,19.18,993826,Unknown,Zero-day,Firewall,7
767,India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12
768,France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3
769,Japan,2024,DDoS,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10
770,Brazil,2015,SQL Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37
771,Brazil,2018,Malware,Education,33.12,724513,Nation-state,Zero-day,VPN,46
772,UK,2024,SQL Injection,Telecommunications,54.1,715395,Unknown,Social Engineering,VPN,60
773,France,2020,Ransomware,Telecommunications,75.13,177097,Unknown,Unpatched Software,Encryption,15
774,Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11
775,UK,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50
776,USA,2019,SQL Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4
777,Germany,2020,SQL Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50
778,USA,2018,Malware,Education,77.07,10600,Insider,Social Engineering,Firewall,47
779,France,2016,SQL Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26
780,India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28
781,Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47
782,China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38
783,Japan,2018,SQL Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59
784,Germany,2023,Malware,Telecommunications,3.86,51176,Unknown,Social Engineering,Encryption,61
785,Germany,2016,SQL Injection,IT,34.35,918452,Unknown,Weak Passwords,AI-based Detection,16
786,Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33
787,USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29
788,USA,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16
789,Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21
790,Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35
791,France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71
792,China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56
793,USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27
794,Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66
795,Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67
796,Japan,2023,Man-in-the-Middle,Retail,36.68,231307,Unknown,Zero-day,Encryption,4
797,China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60
798,USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33
799,UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28
800,China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47
801,Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56
802,USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68
803,France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46
804,Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68
805,USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23
806,Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29
807,UK,2019,DDoS,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13
808,Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39
809,India,2017,DDoS,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23
810,USA,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35
811,Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41
812,Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64
813,Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32
814,Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56
815,Germany,2016,SQL Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51
816,USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11
817,Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1
818,Brazil,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9
819,India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57
820,Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57
821,Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60
822,India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17
823,India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5
824,Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31
825,Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49
826,India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11
827,Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27
828,China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48
829,France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11
830,USA,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11
831,Brazil,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2
832,Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32
833,India,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36
834,Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72
835,UK,2022,Ransomware,IT,63.67,560021,Unknown,Zero-day,Encryption,43
836,Japan,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11
837,Australia,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58
838,India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2
839,France,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17
840,UK,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3
841,France,2019,Man-in-the-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31
842,Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13
843,India,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5
844,Japan,2018,SQL Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66
845,China,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33
846,Germany,2019,DDoS,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66
847,Australia,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66
848,France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43
849,UK,2023,DDoS,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35
850,UK,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10
851,USA,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21
852,USA,2020,SQL Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33
853,Japan,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60
854,Germany,2022,SQL Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37
855,UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42
856,India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44
857,China,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46
858,France,2015,Man-in-the-Middle,Education,17.94,808798,Unknown,Social Engineering,Encryption,60
859,Russia,2018,Man-in-the-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10
860,Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44
861,USA,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70
862,Australia,2024,SQL Injection,Retail,66.49,709125,Hacker Group,Weak Passwords,AI-based Detection,37
863,Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67
864,India,2020,Ransomware,Healthcare,10.46,32616,Unknown,Unpatched Software,Firewall,63
865,Australia,2017,Phishing,Healthcare,39.3,290846,Unknown,Weak Passwords,Firewall,3
866,India,2023,DDoS,Banking,23.83,557428,Insider,Unpatched Software,VPN,38
867,Japan,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8
868,Australia,2021,DDoS,Government,30.24,292383,Insider,Social Engineering,Encryption,71
869,France,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44
870,USA,2015,DDoS,IT,66.39,365006,Insider,Weak Passwords,VPN,47
871,Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33
872,USA,2022,Malware,Retail,7.65,864358,Hacker Group,Unpatched Software,VPN,11
873,USA,2016,Ransomware,Retail,9.82,610968,Unknown,Unpatched Software,Antivirus,26
874,China,2016,DDoS,IT,67.28,413150,Hacker Group,Social Engineering,Firewall,27
875,USA,2017,Malware,Education,13.14,681956,Nation-state,Social Engineering,Antivirus,35
876,Australia,2016,Man-in-the-Middle,IT,84.46,94162,Unknown,Weak Passwords,Firewall,15
877,France,2023,Man-in-the-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72
878,France,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20
879,Russia,2021,DDoS,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19
880,USA,2024,SQL Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24
881,Russia,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7
882,Australia,2015,Malware,Healthcare,42.15,680874,Unknown,Zero-day,Antivirus,8
883,France,2018,DDoS,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4
884,USA,2022,SQL Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6
885,USA,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35
886,China,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44
887,UK,2019,Phishing,Education,99.45,467349,Nation-state,Zero-day,Firewall,44
888,France,2021,SQL Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28
889,Australia,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25
890,China,2020,SQL Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66
891,USA,2024,Phishing,IT,58.57,630793,Hacker Group,Social Engineering,AI-based Detection,64
892,France,2015,SQL Injection,Education,65.83,691903,Unknown,Zero-day,VPN,54
893,UK,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8
894,Australia,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45
895,Germany,2016,Phishing,IT,2.1,176471,Unknown,Zero-day,VPN,9
896,India,2015,SQL Injection,Telecommunications,63.72,916516,Hacker Group,Social Engineering,Encryption,68
897,Japan,2023,SQL Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62
898,UK,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51
899,India,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55
900,Russia,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50
901,Japan,2021,DDoS,Government,35.46,937562,Unknown,Zero-day,Firewall,10
902,France,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5
903,China,2022,DDoS,Government,80.76,346279,Unknown,Zero-day,Encryption,59
904,Brazil,2016,DDoS,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63
905,France,2018,SQL Injection,Healthcare,0.95,376206,Unknown,Unpatched Software,Antivirus,44
906,India,2018,Ransomware,IT,27.14,227433,Unknown,Unpatched Software,Antivirus,13
907,Germany,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39
908,Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42
909,Brazil,2024,Man-in-the-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14
910,India,2017,Ransomware,Education,98.11,677198,Unknown,Social Engineering,VPN,28
911,Russia,2024,Man-in-the-Middle,Healthcare,9.4,480988,Nation-state,Unpatched Software,Encryption,59
912,Australia,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61
913,Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31
914,China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3
915,Australia,2017,Man-in-the-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2
916,China,2023,Malware,Education,23.74,317922,Insider,Social Engineering,Antivirus,18
917,USA,2018,DDoS,IT,82.13,220618,Unknown,Weak Passwords,Firewall,59
918,India,2015,Ransomware,Telecommunications,24.7,825941,Hacker Group,Unpatched Software,VPN,54
919,China,2022,Malware,Education,60.9,331234,Unknown,Social Engineering,Antivirus,3
920,China,2020,Man-in-the-Middle,Telecommunications,14.61,855055,Hacker Group,Unpatched Software,Antivirus,59
921,Japan,2022,DDoS,Telecommunications,34.31,305329,Unknown,Unpatched Software,Firewall,40
922,Japan,2020,Phishing,Government,32.39,442923,Nation-state,Social Engineering,Encryption,57
923,UK,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15
924,China,2020,Malware,Healthcare,30.86,240532,Insider,Weak Passwords,Encryption,64
925,USA,2016,DDoS,Healthcare,93.14,947960,Nation-state,Weak Passwords,Firewall,55
926,Brazil,2018,Malware,Healthcare,52.87,437283,Insider,Zero-day,Antivirus,30
927,China,2019,Malware,Healthcare,29.61,761390,Insider,Weak Passwords,Antivirus,7
928,France,2019,Phishing,Retail,25.75,998507,Insider,Weak Passwords,AI-based Detection,15
929,India,2017,DDoS,Retail,82.17,593329,Hacker Group,Unpatched Software,AI-based Detection,62
930,UK,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62
931,Japan,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15
932,Australia,2017,Phishing,Retail,14.88,69641,Hacker Group,Unpatched Software,Firewall,54
933,Germany,2022,DDoS,IT,73.98,953770,Insider,Weak Passwords,Firewall,54
934,Japan,2023,SQL Injection,Retail,42.33,643549,Nation-state,Weak Passwords,VPN,20
935,Brazil,2022,Man-in-the-Middle,Education,77.98,899279,Insider,Zero-day,Firewall,39
936,India,2016,Ransomware,Education,8.55,857887,Unknown,Social Engineering,Firewall,44
937,Russia,2016,Phishing,Government,30.57,503775,Unknown,Zero-day,VPN,71
938,Japan,2015,SQL Injection,IT,36.98,452892,Unknown,Weak Passwords,VPN,17
939,Russia,2018,Ransomware,Healthcare,24.06,327566,Unknown,Unpatched Software,AI-based Detection,6
940,Australia,2018,Ransomware,Education,50.66,851204,Insider,Zero-day,Firewall,3
941,UK,2017,Man-in-the-Middle,Government,79.27,923309,Hacker Group,Unpatched Software,Firewall,29
942,Brazil,2023,Phishing,Banking,71.86,151590,Nation-state,Zero-day,Antivirus,30
943,UK,2022,DDoS,Education,21.01,452432,Nation-state,Unpatched Software,Firewall,8
944,Japan,2015,Ransomware,Retail,95.38,769596,Nation-state,Weak Passwords,VPN,65
945,Germany,2022,Phishing,Banking,14.79,407151,Unknown,Weak Passwords,Antivirus,37
946,Brazil,2023,DDoS,IT,45.97,312555,Nation-state,Social Engineering,AI-based Detection,67
947,Brazil,2019,Man-in-the-Middle,Government,76.39,311908,Unknown,Weak Passwords,Encryption,68
948,China,2018,Malware,Banking,68.55,59979,Insider,Zero-day,Firewall,41
949,Japan,2019,Malware,IT,9.86,233545,Unknown,Zero-day,Antivirus,55
950,France,2020,Man-in-the-Middle,Retail,89.85,722081,Hacker Group,Zero-day,VPN,33
951,Russia,2024,SQL Injection,Healthcare,76.99,873037,Nation-state,Unpatched Software,Antivirus,31
952,India,2022,Malware,IT,12.08,482213,Nation-state,Social Engineering,AI-based Detection,3
953,India,2020,Phishing,Education,39.72,512850,Hacker Group,Zero-day,Antivirus,15
954,China,2023,Man-in-the-Middle,Telecommunications,37.73,849834,Hacker Group,Zero-day,AI-based Detection,56
955,Brazil,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11
956,USA,2021,Ransomware,Education,6.77,697935,Unknown,Social Engineering,AI-based Detection,16
957,Russia,2019,Malware,IT,71.92,500655,Nation-state,Zero-day,AI-based Detection,8
958,USA,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63
959,China,2023,Phishing,Retail,90.04,143728,Unknown,Zero-day,AI-based Detection,57
960,USA,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27
961,Russia,2018,SQL Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56
962,Australia,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54
963,Germany,2021,DDoS,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22
964,Russia,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27
965,France,2019,Phishing,Telecommunications,28.88,96640,Unknown,Social Engineering,Antivirus,60
966,Russia,2024,DDoS,Education,19.5,325634,Insider,Weak Passwords,Firewall,5
967,France,2023,SQL Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30
968,USA,2024,Phishing,IT,57.24,107681,Unknown,Zero-day,VPN,18
969,Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6
970,Japan,2022,SQL Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54
971,Brazil,2017,Ransomware,Education,80.5,279808,Insider,Social Engineering,Antivirus,60
972,India,2024,SQL Injection,Telecommunications,71.2,190099,Unknown,Zero-day,AI-based Detection,15
973,Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59
974,Australia,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68
975,Germany,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11
976,UK,2016,DDoS,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33
977,Russia,2015,DDoS,Telecommunications,57.21,609196,Unknown,Social Engineering,VPN,4
978,USA,2021,Man-in-the-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3
979,Russia,2022,Man-in-the-Middle,IT,84.1,919858,Nation-state,Unpatched Software,Encryption,47
980,France,2017,DDoS,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14
981,Russia,2015,Man-in-the-Middle,Government,46.76,713342,Unknown,Weak Passwords,Encryption,36
982,UK,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29
983,China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37
984,UK,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13
985,Russia,2021,DDoS,IT,78.76,130413,Unknown,Social Engineering,Encryption,66
986,Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15
987,China,2020,Ransomware,IT,14.94,557218,Nation-state,Zero-day,Firewall,70
988,Russia,2018,SQL Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26
989,UK,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2
990,China,2018,DDoS,IT,14.04,803086,Nation-state,Social Engineering,VPN,23
991,China,2024,Man-in-the-Middle,IT,63.79,195858,Hacker Group,Zero-day,Encryption,1
992,India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30
993,Australia,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14
994,France,2021,Man-in-the-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43
995,Japan,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47
996,USA,2024,Phishing,Telecommunications,64.67,996651,Hacker Group,Weak Passwords,Encryption,69
997,UK,2015,Ransomware,Government,52.78,281905,Insider,Social Engineering,VPN,32
998,Brazil,2019,Man-in-the-Middle,Healthcare,7.44,739981,Unknown,Social Engineering,Antivirus,54
999,France,2016,SQL Injection,Telecommunications,47.19,554448,Hacker Group,Social Engineering,Antivirus,31
